x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 1.57155
26.0524, 26.6, 0.169247, 1.45357
45.1028, 15.0974, 38.5533, 1.25523
24.1704, 16.0689, 13.6607, 1.20243
35.2982, 31.2265, 23.0541, 1.55966
48.9327, 16.0061, 37.0898, 1.38676
25.9715, 29.0696, 2.99521, 1.25882
28.8724, 20.1137, 20.5919, 1.4147
34.9705, 33.0734, 24.3991, 1.40854
48.0529, 15.5627, 41.0368, 1.45797
35.6115, 11.2606, 55.0815, 1.37688
31.634, 23.2719, 22.8115, 1.43928
29.6901, 20.6814, 21.1258, 1.28876
17.6447, 32.6222, -10.7311, 1.21372
22.532, 18.4652, 7.2071, 1.59315
23.3205, 4.20077, 53.9762, 1.80554
31.4003, 22.1668, 22.2049, 1.25163
42.3526, 20.1239, 33.6126, 1.28983
26.3858, 25.7656, 4.30863, 1.26242
24.5872, 17.1224, 11.7711, 1.11911
25.0344, 20.593, 14.5905, 1.27699
28.1815, 9.18647, -1.35331, 1.69529
47.7183, 14.2912, 38.1504, 1.01436
46.3064, 8.97181, 55.4367, 1.51972
12.699, 31.0722, -13.0613, 1.7419
24.8885, 16.0415, 11.1443, 1.21636
46.8316, 12.7608, 37.3135, 1.43901
22.2569, 16.3553, 13.5315, 1.49381
18.9135, 4.69683, 50.2285, 1.66984
29.1031, 22.3275, 24.9941, 1.7727
37.8149, 26.328, 28.4611, 1.40791
17.4605, 30.1927, -3.95709, 1.44805
40.4149, 33.1151, 25.4341, 1.60077
17.7773, 31.1789, -12.8388, 1.25582
23.7421, 27.4789, 3.88314, 1.43289
33.8884, 31.2412, 19.0691, 1.43973
29.5079, 31.0559, 7.74518, 1.18663
28.5153, 29.261, 4.47126, 1.2725
38.3911, 24.4019, 30.644, 1.33217
17.9374, 33.8954, -7.89118, 1.74941
27.2803, 31.8418, 11.5862, 1.40146
24.2277, 13.6684, 3.86276, 1.43392
45.5203, 16.4847, 33.9253, 1.45549
27.2106, 15.2225, 0.387811, 1.48988
22.5818, 14.1774, 1.68738, 1.47618
48.5814, 7.79525, 47.7235, 1.44784
22.6753, 15.1179, 0.655793, 1.57533
36.1306, 32.2218, 22.343, 1.12966
23.7416, 2.37739, 52.5885, 1.9109
29.3935, 22.1329, 25.6713, 1.81021
17.2026, 33.3014, -7.31193, 1.66177
21.9482, 15.4758, 12.041, 1.54799
28.9083, 9.62974, -2.07769, 1.87002
17.9306, 32.6549, -11.4644, 1.25463
41.0446, 11.4448, 58.1281, 1.28683
20.2479, 5.02554, 52.9455, 1.39414
48.261, 14.3573, 36.9471, 1.22554
30.7495, 7.62617, 49.2177, 1.57676
36.1485, 30.5028, 25.6397, 1.5787
27.0137, 20.9239, 18.4888, 1.25681
25.6703, 12.4325, 1.0093, 1.16141
28.1851, 5.75235, 48.2366, 1.60266
31.9519, 34.9422, 11.5528, 1.8282
35.068, 32.3176, 23.1894, 1.3088
40.0356, 19.9611, 32.3782, 1.2702
23.6101, 17.4756, 15.6549, 1.49752
43.0686, 18.7447, 33.7523, 1.30188
49.0507, 14.1955, 42.3852, 1.41169
21.4878, 31.3253, -0.083469, 1.5012
20.1966, 4.7434, 52.3095, 1.24784
11.9832, 31.1039, -20.1896, 1.59237
37.2789, 34.5551, 20.9401, 1.24593
25.4141, 7.14015, 48.1097, 1.4205
35.4174, 32.4532, 22.4507, 1.1507
40.7651, 19.4311, 32.2026, 1.43958
22.7974, 13.7148, -0.157391, 1.60456
33.0739, 34.0944, 19.4723, 1.46945
11.0068, 32.6032, -16.6264, 1.29945
50.0862, 12.7739, 44.0813, 1.50962
18.2741, 30.6672, -13.0261, 1.45251
26.6093, 19.7945, 17.2117, 1.12504
16.1825, 30.4394, -9.50881, 1.25313
48.4164, 14.0721, 36.0644, 1.52325
16.9474, 30.1774, -13.5461, 1.22622
25.7106, 21.6336, 15.5834, 1.46365
16.8004, 29.7905, -15.0451, 1.36115
45.6456, 16.5948, 34.829, 1.22276
34.173, 11.282, 55.7773, 1.23217
45.3528, 18.5036, 34.6805, 1.38496
25.9618, 5.8152, 50.7959, 1.44322
25.5819, 8.99868, 49.0872, 1.6303
20.327, 4.57082, 50.7745, 1.22066
32.389, 9.09285, 54.2613, 1.15022
26.3451, 27.8359, 4.73827, 1.11276
38.5254, 29.8609, 28.8143, 1.25205
27.2379, 9.91289, 0.854741, 1.58332
35.7527, 33.4577, 25.0966, 1.2928
45.4388, 17.9801, 35.0113, 1.27116
35.8258, 22.4521, 25.4251, 1.40411
39.4368, 23.9918, 31.1326, 1.38391
24.9959, 18.2472, 16.8087, 1.42812
20.0731, 5.77208, 53.0515, 1.62166
30.5994, 32.424, 9.69311, 1.14883
29.3164, 7.73951, 50.2229, 1.15547
31.1787, 22.56, 23.6703, 1.33667
