x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 6.5726
26.0524, 26.6, 0.169247, 7.58688
45.1028, 15.0974, 38.5533, 9.29213
24.1704, 16.0689, 13.6607, 9.74603
35.2982, 31.2265, 23.0541, 6.67474
48.9327, 16.0061, 37.0898, 8.16127
25.9715, 29.0696, 2.99521, 9.26123
28.8724, 20.1137, 20.5919, 7.92107
34.9705, 33.0734, 24.3991, 7.97401
48.0529, 15.5627, 41.0368, 7.54905
35.6115, 11.2606, 55.0815, 8.24619
31.634, 23.2719, 22.8115, 7.70972
29.6901, 20.6814, 21.1258, 9.00386
17.6447, 32.6222, -10.7311, 9.64897
22.532, 18.4652, 7.2071, 6.38689
23.3205, 4.20077, 53.9762, 4.56086
31.4003, 22.1668, 22.2049, 9.32309
42.3526, 20.1239, 33.6126, 8.99464
26.3858, 25.7656, 4.30863, 9.23033
24.5872, 17.1224, 11.7711, 10.4624
25.0344, 20.593, 14.5905, 9.105
28.1815, 9.18647, -1.35331, 5.50872
47.7183, 14.2912, 38.1504, 11.3629
46.3064, 8.97181, 55.4367, 7.0182
12.699, 31.0722, -13.0613, 5.108
24.8885, 16.0415, 11.1443, 9.62625
46.8316, 12.7608, 37.3135, 7.71204
22.2569, 16.3553, 13.5315, 7.24096
18.9135, 4.69683, 50.2285, 5.72754
29.1031, 22.3275, 24.9941, 4.84316
37.8149, 26.328, 28.4611, 7.97942
17.4605, 30.1927, -3.95709, 7.63431
40.4149, 33.1151, 25.4341, 6.32135
17.7773, 31.1789, -12.8388, 9.287
23.7421, 27.4789, 3.88314, 7.76472
33.8884, 31.2412, 19.0691, 7.70591
29.5079, 31.0559, 7.74518, 9.88192
28.5153, 29.261, 4.47126, 9.14367
38.3911, 24.4019, 30.644, 8.63063
17.9374, 33.8954, -7.89118, 5.04338
27.2803, 31.8418, 11.5862, 8.03491
24.2277, 13.6684, 3.86276, 7.75582
45.5203, 16.4847, 33.9253, 7.57042
27.2106, 15.2225, 0.387811, 7.27475
22.5818, 14.1774, 1.68738, 7.39246
48.5814, 7.79525, 47.7235, 7.63618
22.6753, 15.1179, 0.655793, 6.54009
36.1306, 32.2218, 22.343, 10.3717
23.7416, 2.37739, 52.5885, 3.65496
29.3935, 22.1329, 25.6713, 4.5207
17.2026, 33.3014, -7.31193, 5.79687
21.9482, 15.4758, 12.041, 6.7751
28.9083, 9.62974, -2.07769, 4.00643
17.9306, 32.6549, -11.4644, 9.29731
41.0446, 11.4448, 58.1281, 9.02039
20.2479, 5.02554, 52.9455, 8.09787
48.261, 14.3573, 36.9471, 9.54736
