x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 0.00297809
26.0524, 26.6, 0.169247, 0.00343698
45.1028, 15.0974, 38.5533, 0.00419336
24.1704, 16.0689, 13.6607, 0.00440052
35.2982, 31.2265, 23.0541, 0.00301512
48.9327, 16.0061, 37.0898, 0.00368053
25.9715, 29.0696, 2.99521, 0.00418678
28.8724, 20.1137, 20.5919, 0.00357938
34.9705, 33.0734, 24.3991, 0.00360096
48.0529, 15.5627, 41.0368, 0.00341376
35.6115, 11.2606, 55.0815, 0.00372786
31.634, 23.2719, 22.8115, 0.00347997
29.6901, 20.6814, 21.1258, 0.0040658
17.6447, 32.6222, -10.7311, 0.00436692
22.532, 18.4652, 7.2071, 0.00288685
23.3205, 4.20077, 53.9762, 0.00206073
31.4003, 22.1668, 22.2049, 0.00421258
42.3526, 20.1239, 33.6126, 0.00405909
26.3858, 25.7656, 4.30863, 0.00418167
24.5872, 17.1224, 11.7711, 0.0047251
25.0344, 20.593, 14.5905, 0.00411369
28.1815, 9.18647, -1.35331, 0.00248526
47.7183, 14.2912, 38.1504, 0.00513369
46.3064, 8.97181, 55.4367, 0.00317777
12.699, 31.0722, -13.0613, 0.00230654
24.8885, 16.0415, 11.1443, 0.00434666
46.8316, 12.7608, 37.3135, 0.00349012
22.2569, 16.3553, 13.5315, 0.00328102
18.9135, 4.69683, 50.2285, 0.00258346
29.1031, 22.3275, 24.9941, 0.00220909
37.8149, 26.328, 28.4611, 0.00360328
17.4605, 30.1927, -3.95709, 0.00344855
40.4149, 33.1151, 25.4341, 0.00286024
17.7773, 31.1789, -12.8388, 0.00420341
23.7421, 27.4789, 3.88314, 0.00351268
33.8884, 31.2412, 19.0691, 0.00348168
29.5079, 31.0559, 7.74518, 0.00445712
28.5153, 29.261, 4.47126, 0.00413552
38.3911, 24.4019, 30.644, 0.00390062
17.9374, 33.8954, -7.89118, 0.00227872
27.2803, 31.8418, 11.5862, 0.00363322
24.2277, 13.6684, 3.86276, 0.0035088
45.5203, 16.4847, 33.9253, 0.00341741
27.2106, 15.2225, 0.387811, 0.00328114
22.5818, 14.1774, 1.68738, 0.0033367
48.5814, 7.79525, 47.7235, 0.00345069
22.6753, 15.1179, 0.655793, 0.00295378
36.1306, 32.2218, 22.343, 0.00468016
23.7416, 2.37739, 52.5885, 0.00165287
29.3935, 22.1329, 25.6713, 0.00205817
17.2026, 33.3014, -7.31193, 0.00261947
21.9482, 15.4758, 12.041, 0.00306171
28.9083, 9.62974, -2.07769, 0.0018077
17.9306, 32.6549, -11.4644, 0.00420135
41.0446, 11.4448, 58.1281, 0.00407244
20.2479, 5.02554, 52.9455, 0.00365205
48.261, 14.3573, 36.9471, 0.00430946
30.7495, 7.62617, 49.2177, 0.00294774
36.1485, 30.5028, 25.6397, 0.00295733
27.0137, 20.9239, 18.4888, 0.00419058
25.6703, 12.4325, 1.0093, 0.0045518
28.1851, 5.75235, 48.2366, 0.00284577
31.9519, 34.9422, 11.5528, 0.00197205
35.068, 32.3176, 23.1894, 0.00398647
40.0356, 19.9611, 32.3782, 0.00413639
23.6101, 17.4756, 15.6549, 0.00325552
43.0686, 18.7447, 33.7523, 0.00401915
49.0507, 14.1955, 42.3852, 0.00359549
21.4878, 31.3253, -0.083469, 0.00325103
20.1966, 4.7434, 52.3095, 0.00421978
11.9832, 31.1039, -20.1896, 0.00288413
37.2789, 34.5551, 20.9401, 0.00423072
25.4141, 7.14015, 48.1097, 0.00356017
35.4174, 32.4532, 22.4507, 0.00459987
40.7651, 19.4311, 32.2026, 0.0034857
22.7974, 13.7148, -0.157391, 0.00284275
33.0739, 34.0944, 19.4723, 0.00336783
11.0068, 32.6032, -16.6264, 0.00401782
50.0862, 12.7739, 44.0813, 0.00320764
18.2741, 30.6672, -13.0261, 0.00343859
26.6093, 19.7945, 17.2117, 0.00470818
16.1825, 30.4394, -9.50881, 0.00420883
48.4164, 14.0721, 36.0644, 0.00315539
16.9474, 30.1774, -13.5461, 0.00430675
25.7106, 21.6336, 15.5834, 0.00340263
16.8004, 29.7905, -15.0451, 0.00379112
45.6456, 16.5948, 34.829, 0.00431939
34.173, 11.282, 55.7773, 0.00429123
45.3528, 18.5036, 34.6805, 0.00369141
25.9618, 5.8152, 50.7959, 0.00346299
25.5819, 8.99868, 49.0872, 0.00274419
20.327, 4.57082, 50.7745, 0.00432288
32.389, 9.09285, 54.2613, 0.00460837
26.3451, 27.8359, 4.73827, 0.00476323
38.5254, 29.8609, 28.8143, 0.00421175
27.2379, 9.91289, 0.854741, 0.00292571
35.7527, 33.4577, 25.0966, 0.00408146
45.4388, 17.9801, 35.0113, 0.0041347
35.8258, 22.4521, 25.4251, 0.00362827
39.4368, 23.9918, 31.1326, 0.00370251
24.9959, 18.2472, 16.8087, 0.00353298
20.0731, 5.77208, 53.0515, 0.00277009
30.5994, 32.424, 9.69311, 0.004607
29.3164, 7.73951, 50.2229, 0.00457766
31.1787, 22.56, 23.6703, 0.00387785
40.7742, 14.3539, 60.3935, 0.00249834
14.9509, 28.796, -16.0399, 0.00402049
38.3233, 21.9374, 28.3931, 0.00359338
48.8104, 9.88474, 43.3335, 0.00355877
49.1345, 8.82507, 45.692, 0.00393179
31.2074, 7.1686, 54.6103, 0.00304218
40.7726, 31.7868, 27.4681, 0.00294472
17.3289, 31.1687, -6.95963, 0.00397835
30.8356, 32.7919, 17.3237, 0.00232408
38.5183, 32.9761, 21.9978, 0.0039497
18.547, 31.7961, -7.33535, 0.00438541
48.0883, 11.6972, 44.049, 0.0043005
31.548, 31.2825, 13.2723, 0.00290739
36.0371, 11.2193, 57.1091, 0.00399398
26.8904, 14.5863, 0.932852, 0.00416987
50.2634, 14.5011, 36.6828, 0.00197409
32.147, 7.26885, 54.9315, 0.00339539
20.4406, 27.8837, -0.368107, 0.00428323
43.3693, 8.04768, 56.2337, 0.00437432
33.7001, 32.8092, 19.0535, 0.00464167
10.3921, 32.4482, -16.7424, 0.0035652
31.9911, 32.7115, 13.0624, 0.00355377
22.9213, 6.06764, 50.9735, 0.00441781
46.397, 13.4578, 36.5763, 0.00398311
9.48889, 34.2141, -15.488, 0.00194535
49.9542, 13.4636, 41.4144, 0.00372365
35.9609, 12.3157, 56.0286, 0.00342359
38.7185, 11.937, 60.6895, 0.00349196
31.88, 34.1876, 13.0523, 0.00287372
23.724, 17.9021, 10.6421, 0.0041885
46.3687, 14.3787, 41.3567, 0.00296491
32.4859, 34.4034, 14.6476, 0.00304844
21.1253, 13.7085, 1.49124, 0.00171227
27.3573, 25.4248, 4.58791, 0.00339818
48.5822, 10.0924, 52.533, 0.00261418
10.3993, 32.7689, -17.3601, 0.00394596
22.891, 18.0979, 9.96003, 0.00346032
23.6631, 14.3409, 3.18705, 0.00401219
20.5157, 28.7967, 2.14947, 0.00294734
12.7697, 32.0348, -15.4339, 0.00377637
28.2156, 5.54708, 49.7889, 0.00366598
14.7844, 30.8994, -17.8008, 0.00412336
26.9436, 9.38988, 0.273254, 0.00275997
28.6926, 31.2176, 6.64157, 0.00427755
39.6434, 23.4496, 31.77, 0.00367829
42.4745, 10.5944, 56.4617, 0.00399394
26.7503, 32.0403, 10.9725, 0.00347247
18.1579, 31.2894, -5.58637, 0.00430698
37.742, 26.7289, 30.6626, 0.00274184
35.1392, 29.9216, 16.9852, 0.00211056
44.3212, 13.9766, 39.2026, 0.00243362
35.2978, 10.3106, 58.9152, 0.00288742
24.2297, 16.4512, 7.83234, 0.00411479
34.1596, 35.7517, 17.8676, 0.00272068
37.6084, 22.0157, 31.6199, 0.00386954
38.7372, 35.0864, 28.4518, 0.00217639
26.7965, 30.4162, 6.31747, 0.00377231
38.4047, 31.7738, 22.2999, 0.00323544
14.6642, 31.323, -10.8393, 0.00329678
