x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 52545.5
26.0524, 26.6, 0.169247, 54083.1
45.1028, 15.0974, 38.5533, 60770.4
24.1704, 16.0689, 13.6607, 49983.4
35.2982, 31.2265, 23.0541, 54753.4
48.9327, 16.0061, 37.0898, 65781.6
25.9715, 29.0696, 2.99521, 54791.3
28.8724, 20.1137, 20.5919, 47417.2
34.9705, 33.0734, 24.3991, 56637.3
48.0529, 15.5627, 41.0368, 67413
35.6115, 11.2606, 55.0815, 79816.7
31.634, 23.2719, 22.8115, 47907.3
29.6901, 20.6814, 21.1258, 47367.5
17.6447, 32.6222, -10.7311, 81661.8
22.532, 18.4652, 7.2071, 50293.8
23.3205, 4.20077, 53.9762, 86690.2
31.4003, 22.1668, 22.2049, 47612.7
42.3526, 20.1239, 33.6126, 53699.4
26.3858, 25.7656, 4.30863, 50776.3
24.5872, 17.1224, 11.7711, 49524.4
25.0344, 20.593, 14.5905, 48364.6
28.1815, 9.18647, -1.35331, 65209.2
47.7183, 14.2912, 38.1504, 65129.1
46.3064, 8.97181, 55.4367, 89706.8
12.699, 31.0722, -13.0613, 88943.3
24.8885, 16.0415, 11.1443, 50100.9
46.8316, 12.7608, 37.3135, 64095.7
22.2569, 16.3553, 13.5315, 50761.9
18.9135, 4.69683, 50.2285, 83503.8
29.1031, 22.3275, 24.9941, 47469.2
37.8149, 26.328, 28.4611, 51844
17.4605, 30.1927, -3.95709, 68372
40.4149, 33.1151, 25.4341, 60232.8
17.7773, 31.1789, -12.8388, 84104.8
23.7421, 27.4789, 3.88314, 52707.9
33.8884, 31.2412, 19.0691, 54417.2
29.5079, 31.0559, 7.74518, 55399.9
28.5153, 29.261, 4.47126, 54687.1
38.3911, 24.4019, 30.644, 50973.8
17.9374, 33.8954, -7.89118, 78036.7
27.2803, 31.8418, 11.5862, 54786.1
24.2277, 13.6684, 3.86276, 54894.2
45.5203, 16.4847, 33.9253, 58712
27.2106, 15.2225, 0.387811, 56081.1
22.5818, 14.1774, 1.68738, 56526.5
48.5814, 7.79525, 47.7235, 81283.5
22.6753, 15.1179, 0.655793, 56348.2
