x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 1
26.0524, 26.6, 0.169247, 69961.6
45.1028, 15.0974, 38.5533, 34662
24.1704, 16.0689, 13.6607, 52046.3
35.2982, 31.2265, 23.0541, 19594.8
48.9327, 16.0061, 37.0898, 35700.8
25.9715, 29.0696, 2.99521, 64785
28.8724, 20.1137, 20.5919, 31893.5
34.9705, 33.0734, 24.3991, 21105.5
48.0529, 15.5627, 41.0368, 40451.4
35.6115, 11.2606, 55.0815, 67092.9
31.634, 23.2719, 22.8115, 22155.2
29.6901, 20.6814, 21.1258, 29416.1
17.6447, 32.6222, -10.7311, 101085
22.532, 18.4652, 7.2071, 62701.4
23.3205, 4.20077, 53.9762, 81585.5
31.4003, 22.1668, 22.2049, 24075.3
42.3526, 20.1239, 33.6126, 17897.5
26.3858, 25.7656, 4.30863, 61364.2
24.5872, 17.1224, 11.7711, 53404.8
25.0344, 20.593, 14.5905, 46019.4
28.1815, 9.18647, -1.35331, 80225.6
47.7183, 14.2912, 38.1504, 37910.8
46.3064, 8.97181, 55.4367, 71635.9
12.699, 31.0722, -13.0613, 110591
24.8885, 16.0415, 11.1443, 54902.4
46.8316, 12.7608, 37.3135, 38445.8
22.2569, 16.3553, 13.5315, 54795.7
18.9135, 4.69683, 50.2285, 80482.5
29.1031, 22.3275, 24.9941, 25169.1
37.8149, 26.328, 28.4611, 3402.48
17.4605, 30.1927, -3.95709, 87813
40.4149, 33.1151, 25.4341, 18097.8
17.7773, 31.1789, -12.8388, 104622
23.7421, 27.4789, 3.88314, 65202.8
33.8884, 31.2412, 19.0691, 27439.1
29.5079, 31.0559, 7.74518, 52771.4
28.5153, 29.261, 4.47126, 59491.4
38.3911, 24.4019, 30.644, 5414.7
17.9374, 33.8954, -7.89118, 95832.5
27.2803, 31.8418, 11.5862, 48390.6
24.2277, 13.6684, 3.86276, 69950.2
45.5203, 16.4847, 33.9253, 27411.3
27.2106, 15.2225, 0.387811, 72362.8
22.5818, 14.1774, 1.68738, 75149.6
48.5814, 7.79525, 47.7235, 61549.7
22.6753, 15.1179, 0.655793, 76221.8
36.1306, 32.2218, 22.343, 21360.9
23.7416, 2.37739, 52.5885, 81613.7
29.3935, 22.1329, 25.6713, 24261.6
17.2026, 33.3014, -7.31193, 95326.1
