x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 54578.2
26.0524, 26.6, 0.169247, 66123.8
45.1028, 15.0974, 38.5533, 63157.1
24.1704, 16.0689, 13.6607, 55787.5
35.2982, 31.2265, 23.0541, 53770.4
48.9327, 16.0061, 37.0898, 65985.1
25.9715, 29.0696, 2.99521, 63764
28.8724, 20.1137, 20.5919, 50165.8
34.9705, 33.0734, 24.3991, 55783.5
48.0529, 15.5627, 41.0368, 67943.1
35.6115, 11.2606, 55.0815, 75777.8
31.634, 23.2719, 22.8115, 49806.1
29.6901, 20.6814, 21.1258, 49898.7
17.6447, 32.6222, -10.7311, 90164.1
22.532, 18.4652, 7.2071, 60289.7
23.3205, 4.20077, 53.9762, 81388.7
31.4003, 22.1668, 22.2049, 50441.4
42.3526, 20.1239, 33.6126, 57478.8
26.3858, 25.7656, 4.30863, 60923.8
24.5872, 17.1224, 11.7711, 55860.7
25.0344, 20.593, 14.5905, 52393.5
28.1815, 9.18647, -1.35331, 74749.6
47.7183, 14.2912, 38.1504, 65779
46.3064, 8.97181, 55.4367, 82427.4
12.699, 31.0722, -13.0613, 97299.2
24.8885, 16.0415, 11.1443, 56658.1
46.8316, 12.7608, 37.3135, 65039.1
22.2569, 16.3553, 13.5315, 57044.6
18.9135, 4.69683, 50.2285, 79765.6
29.1031, 22.3275, 24.9941, 49945.7
37.8149, 26.328, 28.4611, 53914.3
17.4605, 30.1927, -3.95709, 78864.2
40.4149, 33.1151, 25.4341, 59681.4
17.7773, 31.1789, -12.8388, 92958.3
23.7421, 27.4789, 3.88314, 62930.6
33.8884, 31.2412, 19.0691, 53657.3
29.5079, 31.0559, 7.74518, 59033.2
28.5153, 29.261, 4.47126, 61947.5
38.3911, 24.4019, 30.644, 54384.8
17.9374, 33.8954, -7.89118, 86494.3
27.2803, 31.8418, 11.5862, 57475.4
24.2277, 13.6684, 3.86276, 64735.9
45.5203, 16.4847, 33.9253, 60431
27.2106, 15.2225, 0.387811, 67412.6
22.5818, 14.1774, 1.68738, 68165.6
48.5814, 7.79525, 47.7235, 75223.1
22.6753, 15.1179, 0.655793, 68730.6
36.1306, 32.2218, 22.343, 54946.7
23.7416, 2.37739, 52.5885, 81080
29.3935, 22.1329, 25.6713, 50056.9
17.2026, 33.3014, -7.31193, 85724.4
21.9482, 15.4758, 12.041, 58459.9
28.9083, 9.62974, -2.07769, 75294.8
17.9306, 32.6549, -11.4644, 91199.8
41.0446, 11.4448, 58.1281, 82393.5
20.2479, 5.02554, 52.9455, 81644.4
48.261, 14.3573, 36.9471, 65640.9
30.7495, 7.62617, 49.2177, 69873.5
36.1485, 30.5028, 25.6397, 54882.6
27.0137, 20.9239, 18.4888, 50538.1
25.6703, 12.4325, 1.0093, 68971.5
28.1851, 5.75235, 48.2366, 70764.7
31.9519, 34.9422, 11.5528, 60102
35.068, 32.3176, 23.1894, 54770.6
40.0356, 19.9611, 32.3782, 55343.5
23.6101, 17.4756, 15.6549, 54650.7
43.0686, 18.7447, 33.7523, 58244.6
49.0507, 14.1955, 42.3852, 70601.3
21.4878, 31.3253, -0.083469, 70677.7
20.1966, 4.7434, 52.3095, 81076.6
11.9832, 31.1039, -20.1896, 112775
37.2789, 34.5551, 20.9401, 58146.7
25.4141, 7.14015, 48.1097, 70877.9
35.4174, 32.4532, 22.4507, 54923.1
40.7651, 19.4311, 32.2026, 55745.3
22.7974, 13.7148, -0.157391, 70662.1
33.0739, 34.0944, 19.4723, 56381.8
11.0068, 32.6032, -16.6264, 105639
50.0862, 12.7739, 44.0813, 74261.3
18.2741, 30.6672, -13.0261, 92792.1
26.6093, 19.7945, 17.2117, 51117.9
16.1825, 30.4394, -9.50881, 88233.2
48.4164, 14.0721, 36.0644, 65491.7
16.9474, 30.1774, -13.5461, 94274.2
25.7106, 21.6336, 15.5834, 51638.4
16.8004, 29.7905, -15.0451, 96924.2
45.6456, 16.5948, 34.829, 60917.3
34.173, 11.282, 55.7773, 76869.4
45.3528, 18.5036, 34.6805, 60206.7
25.9618, 5.8152, 50.7959, 74847.8
25.5819, 8.99868, 49.0872, 70731.9
20.327, 4.57082, 50.7745, 79961.5
32.389, 9.09285, 54.2613, 75617.2
26.3451, 27.8359, 4.73827, 61225.4
38.5254, 29.8609, 28.8143, 56762.2
27.2379, 9.91289, 0.854741, 71194.1
35.7527, 33.4577, 25.0966, 56605.2
45.4388, 17.9801, 35.0113, 60530.8
35.8258, 22.4521, 25.4251, 51414.5
39.4368, 23.9918, 31.1326, 55075
24.9959, 18.2472, 16.8087, 52493.6
20.0731, 5.77208, 53.0515, 81342.4
30.5994, 32.424, 9.69311, 58455
29.3164, 7.73951, 50.2229, 71413.6
31.1787, 22.56, 23.6703, 49856.2
40.7742, 14.3539, 60.3935, 85891.4
14.9509, 28.796, -16.0399, 99668.4
38.3233, 21.9374, 28.3931, 52986.9
48.8104, 9.88474, 43.3335, 73723.4
49.1345, 8.82507, 45.692, 77070.8
31.2074, 7.1686, 54.6103, 77442.9
40.7726, 31.7868, 27.4681, 59253.3
17.3289, 31.1687, -6.95963, 83756.9
30.8356, 32.7919, 17.3237, 55218.9
38.5183, 32.9761, 21.9978, 57113.5
18.547, 31.7961, -7.33535, 83802.6
48.0883, 11.6972, 44.049, 72495.1
31.548, 31.2825, 13.2723, 55358.7
36.0371, 11.2193, 57.1091, 79205.6
26.8904, 14.5863, 0.932852, 67154.2
50.2634, 14.5011, 36.6828, 67933.1
32.147, 7.26885, 54.9315, 77704.9
20.4406, 27.8837, -0.368107, 69750.3
43.3693, 8.04768, 56.2337, 81957.8
33.7001, 32.8092, 19.0535, 55114.1
10.3921, 32.4482, -16.7424, 106387
31.9911, 32.7115, 13.0624, 56835.2
22.9213, 6.06764, 50.9735, 76856.6
46.397, 13.4578, 36.5763, 63803.8
9.48889, 34.2141, -15.488, 108185
49.9542, 13.4636, 41.4144, 71100.8
35.9609, 12.3157, 56.0286, 77055.6
38.7185, 11.937, 60.6895, 86057.1
31.88, 34.1876, 13.0523, 58379
23.724, 17.9021, 10.6421, 56510.7
46.3687, 14.3787, 41.3567, 66842.6
32.4859, 34.4034, 14.6476, 57963
21.1253, 13.7085, 1.49124, 69743.9
27.3573, 25.4248, 4.58791, 60365.9
48.5822, 10.0924, 52.533, 79823.2
10.3993, 32.7689, -17.3601, 107612
22.891, 18.0979, 9.96003, 57544.2
23.6631, 14.3409, 3.18705, 65737.6
20.5157, 28.7967, 2.14947, 67378.3
12.7697, 32.0348, -15.4339, 101594
28.2156, 5.54708, 49.7889, 72745.9
14.7844, 30.8994, -17.8008, 103710
26.9436, 9.38988, 0.273254, 72504.1
28.6926, 31.2176, 6.64157, 60122.2
39.6434, 23.4496, 31.77, 55393.6
42.4745, 10.5944, 56.4617, 80477.6
26.7503, 32.0403, 10.9725, 58140
18.1579, 31.2894, -5.58637, 81123
37.742, 26.7289, 30.6626, 55204.1
35.1392, 29.9216, 16.9852, 53594.1
44.3212, 13.9766, 39.2026, 63526.7
35.2978, 10.3106, 58.9152, 82707.5
24.2297, 16.4512, 7.83234, 59142.2
34.1596, 35.7517, 17.8676, 58899.5
37.6084, 22.0157, 31.6199, 54019.6
38.7372, 35.0864, 28.4518, 61928.4
26.7965, 30.4162, 6.31747, 61148.6
38.4047, 31.7738, 22.2999, 55826.4
14.6642, 31.323, -10.8393, 92058.6
30.3628, 9.78226, 53.8867, 75023.6
35.9839, 34.0252, 18.6207, 57285.5
35.2924, 9.48452, 54.7103, 75943.9
34.6692, 33.0851, 22.0891, 55368.5
27.6879, 14.7861, 2.89914, 64559.6
14.0293, 31.6432, -13.9654, 97816.2
36.557, 29.2537, 29.7589, 55965.6
35.6917, 32.3617, 25.8062, 56549.5
32.6897, 21.9983, 24.6673, 50750.6
46.624, 11.3234, 45.4208, 68684.4
44.8109, 18.8267, 35.399, 60073.9
18.8101, 29.9867, -3.97829, 76443.7
29.7613, 19.3304, 20.1396, 50210.4
25.2801, 10.9321, 0.441867, 71147.4
48.1243, 15.4952, 36.295, 64660.8
43.7422, 6.9496, 54.6643, 80565.2
49.2908, 9.25854, 41.5333, 73269.5
17.2578, 31.7461, -5.25997, 81655.4
12.5948, 29.3891, -15.4137, 100710
34.2584, 10.3672, 53.8424, 74184.6
38.3974, 34.0712, 23.5716, 58301.3
23.1681, 16.7302, 12.9974, 56360.2
49.7073, 8.29438, 47.8558, 76336.6
31.5309, 33.888, 10.517, 59502.8
14.9251, 31.6757, -13.5696, 96422.8
28.4616, 33.0177, 8.18157, 60480.5
25.8714, 19.4499, 16.8446, 51619.7
14.3981, 30.6387, -12.3166, 94336
11.0616, 35.2922, -16.2253, 107942
34.6315, 32.2361, 20.329, 54494.1
21.2013, 29.8427, -3.98848, 76210.3
22.9601, 3.82292, 50.2893, 77906.2
26.3328, 16.6028, 7.30964, 58686.3
23.6515, 28.3615, 0.456433, 67121.8
35.0076, 35.2687, 16.8795, 58845.8
50.0014, 10.6573, 45.8541, 77020
35.6256, 23.7814, 28.9642, 52438.2
18.1543, 2.93218, 52.4328, 84881.1
27.7225, 27.2955, 2.59666, 63126.7
23.8185, 7.41878, 49.4855, 73359
27.8756, 23.2888, 20.3444, 49957.3
34.9846, 22.0628, 24.1195, 50974.8
16.4775, 33.046, -10.5032, 91007.4
37.2091, 32.0883, 19.0595, 55769.7
34.7065, 32.4623, 17.1303, 55531
26.0805, 20.1255, 19.0019, 50973.9
14.0972, 29.9157, -15.5505, 99766
24.3141, 29.1498, 3.40781, 63958
23.3811, 18.3922, 11.7011, 55947.9
39.1167, 23.7892, 27.7904, 53530.7
28.9424, 29.7205, 6.46073, 59327.5
48.4732, 13.6877, 39.1013, 67495.9
18.7078, 29.6916, -1.13385, 72854.9
31.6279, 23.8967, 23.225, 49983.5
46.3564, 13.2792, 34.9886, 63135.4
32.19, 7.89534, 54.2774, 76257.8
27.4316, 21.4983, 23.0099, 50832.9
11.5107, 33.4896, -16.285, 106762
47.251, 8.35575, 46.333, 76169.2
23.7199, 16.5097, 8.58876, 58804.7
32.102, 10.4977, 56.7565, 78923.8
14.793, 29.4758, -17.6398, 102930
26.1438, 11.7273, 0.440006, 70174.2
37.7236, 33.0095, 19.5818, 56883.3
19.4073, 5.90955, 51.1055, 79315.3
29.2891, 8.71938, 49.4033, 69786.6
30.1674, 20.0822, 21.4118, 49955.9
22.4607, 16.7731, 10.4631, 58143
26.8855, 11.5903, 1.09154, 69328.6
24.6553, 8.19836, 48.6395, 71267.4
16.617, 32.4008, -12.3064, 93417.6
48.4662, 11.5172, 39.7261, 69050.4
29.777, 33.3908, 12.5342, 57660.5
31.7003, 21.5593, 25.0065, 50078
48.2257, 14.9383, 38.473, 66328.9
49.3458, 10.5911, 44.3739, 74831.8
22.1081, 4.61948, 50.0968, 77574
35.4877, 26.4126, 29.715, 53821.5
29.4662, 32.4265, 11.4102, 57297.7
18.5766, 31.9074, -6.15247, 82117.3
47.4333, 11.3801, 41.0961, 69043.4
40.1119, 21.0782, 30.9108, 54856.4
25.2627, 11.2191, -0.924965, 72672.2
33.9918, 32.2099, 16.5479, 55239.6
28.534, 30.0759, 3.90108, 62945.3
25.6253, 16.5116, 16.5628, 53062.8
38.3579, 22.5703, 28.5125, 53092.8
44.1548, 8.39845, 54.7176, 79933.3
38.5177, 32.4502, 25.3555, 57667
23.0714, 20.3626, 13.2529, 54955.2
35.6964, 25.1064, 28.8674, 52812.1
19.2973, 30.1707, -7.26702, 82375.3
22.545, 17.6377, 14.9834, 55568
37.2356, 31.5181, 19.6493, 55135
35.5816, 32.625, 17.7364, 55854.5
28.3261, 21.8675, 17.1662, 50239.7
17.0295, 29.7039, -8.26852, 85374.8
50.167, 13.0555, 39.7043, 70245.3
16.6611, 30.5474, -16.2757, 99472.2
30.9127, 33.7846, 11.6165, 58595.6
45.3277, 14.9785, 37.4768, 62634.1
26.392, 13.9739, 2.57635, 65684.5
24.3791, 16.1867, 5.20482, 61507.6
24.71, 27.3514, 3.95012, 62358.1
20.2039, 27.7967, 0.881613, 68487.9
29.1831, 22.6526, 20.1133, 49481.5
34.5945, 35.2438, 17.4764, 58482.3
26.9338, 32.9584, 12.3669, 58286.8
49.1394, 9.92723, 52.1772, 80016.1
15.0043, 30.4696, -18.768, 105233
23.5461, 14.4495, 12.0747, 58066.9
26.7633, 21.4896, 15.7952, 51116.7
45.264, 9.44162, 57.7635, 85081
33.6402, 33.586, 15.0388, 57163.8
29.1239, 32.0076, 11.337, 56974.7
22.5375, 4.34337, 53.0124, 81306.3
29.126, 6.24768, 49.6964, 71957
24.2795, 7.90287, 48.8968, 72017.3
49.598, 10.2196, 41.7764, 73083.1
25.6227, 17.4848, 16.2547, 52604.5
23.5384, 13.7015, 1.61283, 68060.9
41.7781, 12.7304, 59.9445, 85727.5
16.1642, 28.4921, -15.6862, 98100.8
35.8584, 8.95248, 56.2673, 78798.5
26.9423, 28.9017, 6.00861, 60413.6
45.0229, 8.48035, 52.6675, 77581.6
30.2489, 5.41285, 50.4518, 73308.4
48.986, 14.0273, 39.7414, 68399.9
35.9722, 33.6781, 23.7269, 56622.2
29.0848, 22.5661, 21.0804, 49970.2
33.3414, 22.5008, 27.2463, 51502.5
16.5924, 31.245, -11.9128, 92136.1
45.0098, 15.6213, 38.0603, 62542.2
17.4484, 32.4331, -9.49229, 88342.5
27.3298, 21.374, 18.153, 50279.1
34.2493, 22.3161, 27.1405, 51504.6
22.1918, 30.1426, 0.606665, 68669.6
50.9374, 7.86704, 50.0875, 80599.2
21.7092, 32.0107, -1.55657, 72854.6
28.1414, 22.8734, 17.1326, 50204.6
24.9486, 15.058, 10.4121, 57744.4
10.0416, 35.7511, -18.1867, 112796
35.2078, 24.6837, 29.1043, 52668.9
42.8213, 10.812, 59.2138, 85513.8
36.5353, 30.8096, 28.6472, 56657
26.1076, 13.9394, 1.58909, 66935.4
33.4498, 10.9779, 56.6889, 78514.7
29.3892, 19.2605, 17.6926, 50432.8
27.4546, 18.6972, 15.4241, 51632.2
