x coord, y coord, z coord, scalar
39.2075, 25.7898, 28.8106, 6.60837
26.0524, 26.6, 0.169247, 7.62667
45.1028, 15.0974, 38.5533, 9.30506
24.1704, 16.0689, 13.6607, 9.76476
35.2982, 31.2265, 23.0541, 6.69055
48.9327, 16.0061, 37.0898, 8.1671
25.9715, 29.0696, 2.99521, 9.29047
28.8724, 20.1137, 20.5919, 7.94265
34.9705, 33.0734, 24.3991, 7.99052
48.0529, 15.5627, 41.0368, 7.57512
35.6115, 11.2606, 55.0815, 8.27212
31.634, 23.2719, 22.8115, 7.72206
29.6901, 20.6814, 21.1258, 9.02201
17.6447, 32.6222, -10.7311, 9.69019
22.532, 18.4652, 7.2071, 6.40593
23.3205, 4.20077, 53.9762, 4.57276
31.4003, 22.1668, 22.2049, 9.34771
42.3526, 20.1239, 33.6126, 9.00711
26.3858, 25.7656, 4.30863, 9.27913
24.5872, 17.1224, 11.7711, 10.485
25.0344, 20.593, 14.5905, 9.12827
28.1815, 9.18647, -1.35331, 5.51479
47.7183, 14.2912, 38.1504, 11.3917
46.3064, 8.97181, 55.4367, 7.05146
12.699, 31.0722, -13.0613, 5.11821
24.8885, 16.0415, 11.1443, 9.64524
46.8316, 12.7608, 37.3135, 7.74457
22.2569, 16.3553, 13.5315, 7.28057
18.9135, 4.69683, 50.2285, 5.7327
29.1031, 22.3275, 24.9941, 4.90197
37.8149, 26.328, 28.4611, 7.99568
17.4605, 30.1927, -3.95709, 7.65233
40.4149, 33.1151, 25.4341, 6.34687
17.7773, 31.1789, -12.8388, 9.32736
23.7421, 27.4789, 3.88314, 7.79464
33.8884, 31.2412, 19.0691, 7.72584
29.5079, 31.0559, 7.74518, 9.89036
28.5153, 29.261, 4.47126, 9.17672
38.3911, 24.4019, 30.644, 8.65547
17.9374, 33.8954, -7.89118, 5.05647
27.2803, 31.8418, 11.5862, 8.06212
24.2277, 13.6684, 3.86276, 7.78603
45.5203, 16.4847, 33.9253, 7.58324
27.2106, 15.2225, 0.387811, 7.28084
22.5818, 14.1774, 1.68738, 7.40413
48.5814, 7.79525, 47.7235, 7.65708
22.6753, 15.1179, 0.655793, 6.55443
36.1306, 32.2218, 22.343, 10.3853
23.7416, 2.37739, 52.5885, 3.66772
29.3935, 22.1329, 25.6713, 4.56707
17.2026, 33.3014, -7.31193, 5.81261
21.9482, 15.4758, 12.041, 6.79393
28.9083, 9.62974, -2.07769, 4.01128
17.9306, 32.6549, -11.4644, 9.32279
41.0446, 11.4448, 58.1281, 9.03674
20.2479, 5.02554, 52.9455, 8.10389
48.261, 14.3573, 36.9471, 9.56269
30.7495, 7.62617, 49.2177, 6.54103
36.1485, 30.5028, 25.6397, 6.56231
27.0137, 20.9239, 18.4888, 9.29889
25.6703, 12.4325, 1.0093, 10.1005
28.1851, 5.75235, 48.2366, 6.31476
31.9519, 34.9422, 11.5528, 4.37599
35.068, 32.3176, 23.1894, 8.84598
40.0356, 19.9611, 32.3782, 9.17866
23.6101, 17.4756, 15.6549, 7.224
43.0686, 18.7447, 33.7523, 8.91849
49.0507, 14.1955, 42.3852, 7.97839
21.4878, 31.3253, -0.083469, 7.21404
20.1966, 4.7434, 52.3095, 9.36369
11.9832, 31.1039, -20.1896, 6.39988
37.2789, 34.5551, 20.9401, 9.38796
25.4141, 7.14015, 48.1097, 7.90001
35.4174, 32.4532, 22.4507, 10.2071
40.7651, 19.4311, 32.2026, 7.73476
22.7974, 13.7148, -0.157391, 6.30805
33.0739, 34.0944, 19.4723, 7.47322
