x coord, y coord, z coord, scalar
41.1132, 14.1938, 29.174, 0.0052691
10.9081, 19.7766, 11.1094, 0.00418547
12.5531, 19.6137, 12.9916, 0.00708769
41.2312, 23.8511, 39.9652, 0.00702862
38.1647, 24.7721, 46.5094, 0.00764108
32.5392, 23.3212, 54.0077, 0.00876076
43.5881, 23.8214, 39.6888, 0.00601974
33.2924, 25.9921, 59.6908, 0.00653441
21.0937, 14.5765, 20.476, 0.00747552
34.8106, 21.9255, 52.8349, 0.0062811
33.5461, 22.623, 46.5817, 0.00443782
13.4797, 17.8885, 11.86, 0.00905761
26.1886, 13.5379, 25.984, 0.00530764
35.2704, 25.8128, 51.3707, 0.00678622
33.8246, 14.7019, 32.0652, 0.00545219
41.7599, 20.3621, 37.9284, 0.00621651
34.3917, 12.2287, 30.1609, 0.00786899
34.6428, 22.4383, 53.1302, 0.00778059
46.2032, 15.2831, 31.8467, 0.00512619
39.9325, 13.4809, 29.4269, 0.00455565
33.9832, 24.3035, 54.4308, 0.00941745
34.8396, 24.8073, 55.9766, 0.0082652
23.2371, 14.9441, 28.4942, 0.00558941
29.7395, 25.2738, 60.7477, 0.00679365
13.1442, 19.2048, 12.2435, 0.00846296
26.237, 27.3217, 60.5381, 0.00848653
33.8838, 24.7352, 55.7253, 0.00949549
33.9866, 14.6695, 28.6797, 0.00788769
44.4019, 17.6612, 34.0293, 0.00886686
34.2625, 22.7543, 54.7217, 0.00880756
17.2348, 13.779, 25.3727, 0.00425631
39.1197, 26.0531, 42.8128, 0.00671923
32.8399, 21.67, 52.7084, 0.00640379
30.7454, 26.21, 61.0236, 0.00614274
27.1596, 14.3027, 30.5433, 0.00538612
37.0136, 12.9799, 28.9437, 0.00603832
33.4132, 25.3931, 58.9881, 0.00718422
32.3263, 22.5849, 54.4786, 0.00831102
45.0711, 14.8536, 33.7765, 0.00489017
18.4531, 16.1542, 17.4509, 0.00701568
24.1568, 10.9732, 29.0038, 0.00551675
42.842, 16.7819, 34.2991, 0.00705655
42.9406, 19.7513, 32.0145, 0.00615103
22.7052, 13.7329, 28.6936, 0.00661959
45.2786, 18.4568, 31.6106, 0.00694672
22.5978, 14.7093, 23.6335, 0.00850293
37.165, 27.831, 47.1521, 0.00445678
32.9891, 21.4863, 54.0337, 0.00705352
29.2644, 10.583, 30.2985, 0.0064806
47.1737, 17.9364, 31.4021, 0.00408944
15.7371, 16.3021, 15.1883, 0.00657962
15.3347, 15.3943, 14.3659, 0.00548584
14.6362, 15.883, 13.9067, 0.00703965
26.9424, 27.1699, 61.0065, 0.00948491
35.6051, 24.7678, 50.0996, 0.00827048
40.1094, 23.0225, 39.3901, 0.00593731
33.4209, 26.6718, 59.1239, 0.00667489
11.2961, 19.4371, 12.0173, 0.00575257
36.718, 13.5925, 29.0981, 0.00768341
39.5513, 26.1454, 42.1296, 0.00583599
16.4602, 20.8437, 16.0026, 0.00569881
24.7936, 27.4926, 61.5848, 0.0060557
13.0005, 15.4736, 9.74309, 0.00466064
25.7029, 27.5778, 63.767, 0.00396233
11.8537, 17.7894, 11.6272, 0.00854966
14.7185, 19.9855, 16.707, 0.00845575
33.6223, 26.4261, 58.5652, 0.00702807
21.5295, 14.6294, 19.8988, 0.00584841
44.3584, 17.1678, 30.2485, 0.00743251
39.3601, 22.7086, 42.0068, 0.00625218
33.1202, 25.2316, 55.6061, 0.0088958
40.6752, 25.5082, 42.5816, 0.0077662
20.3027, 15.9927, 22.4088, 0.00860451
36.7196, 13.1148, 30.4061, 0.0059929
18.9335, 13.7649, 25.8976, 0.0057514
43.8139, 20.0211, 38.5813, 0.00719799
11.9123, 17.5613, 13.7858, 0.00791911
15.2044, 14.8114, 12.4962, 0.00453595
43.1009, 22.3134, 40.0819, 0.00785158
34.3967, 11.8173, 30.84, 0.00638818
35.66, 27.1105, 46.6742, 0.00559195
42.6857, 17.9362, 31.457, 0.00947499
41.8092, 18.5443, 30.9286, 0.00754233
35.8592, 16.3225, 28.6132, 0.00728062
35.2415, 14.9703, 28.7983, 0.0086907
33.6933, 23.0944, 50.258, 0.00809881
30.9832, 25.596, 57.5351, 0.0076829
35.8349, 23.453, 54.5678, 0.00629902
34.9917, 12.9587, 29.505, 0.00824654
33.5373, 22.2705, 53.2493, 0.0084486
44.6589, 18.6996, 34.9958, 0.00788092
14.5709, 20.0498, 13.0027, 0.00709095
26.3528, 28.7625, 63.7659, 0.00346372
27.6465, 11.8864, 31.9514, 0.00573031
18.8056, 17.8749, 17.9986, 0.0065182
38.113, 25.6012, 49.6585, 0.00357117
14.4612, 15.5771, 11.347, 0.00589868
43.3503, 20.5107, 37.0915, 0.00828235
39.209, 12.9012, 30.3408, 0.00371973
33.0703, 13.5203, 31.3729, 0.00810978
16.3065, 16.8038, 20.0886, 0.00697901
22.6504, 14.519, 25.312, 0.00874176
22.4199, 15.5132, 23.3529, 0.0071243
20.3783, 16.2744, 23.3553, 0.00724855
43.9943, 14.6192, 33.5199, 0.0047088
24.3196, 14.2077, 23.9737, 0.00595496
43.6057, 22.7982, 39.4873, 0.00722569
28.7319, 27.356, 62.4759, 0.00576662
42.5203, 18.8358, 35.7106, 0.00724232
23.5187, 24.4846, 61.039, 0.00798619
15.1353, 20.6633, 14.8571, 0.00677875
40.5048, 22.822, 38.2705, 0.00499849
45.4623, 16.6328, 32.609, 0.00851882
35.3477, 13.7739, 31.0714, 0.00715235
34.1402, 25.536, 47.5852, 0.00714972
32.6896, 25.5185, 60.403, 0.0053105
24.8476, 26.9763, 62.4589, 0.00593943
15.4763, 17.6572, 17.2274, 0.00863257
